AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
Tiles015,8K-PNG,zip,661919794,https://ambientCG.com/get?file=Tiles015_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles015_uremzp9a/Tiles015_8K-PNG.zip
Bricks027,1K-JPG,zip,6315220,https://ambientCG.com/get?file=Bricks027_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks027_p8w9t2oq/Bricks027_1K-JPG.zip
Bricks027,1K-PNG,zip,15317204,https://ambientCG.com/get?file=Bricks027_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks027_p8w9t2oq/Bricks027_1K-PNG.zip
Bricks027,2K-JPG,zip,25328340,https://ambientCG.com/get?file=Bricks027_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks027_p8w9t2oq/Bricks027_2K-JPG.zip
Bricks027,2K-PNG,zip,61789908,https://ambientCG.com/get?file=Bricks027_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks027_p8w9t2oq/Bricks027_2K-PNG.zip
Bricks027,4K-JPG,zip,93013204,https://ambientCG.com/get?file=Bricks027_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks027_p8w9t2oq/Bricks027_4K-JPG.zip
Bricks027,4K-PNG,zip,239432788,https://ambientCG.com/get?file=Bricks027_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks027_p8w9t2oq/Bricks027_4K-PNG.zip
Bricks027,8K-JPG,zip,318378836,https://ambientCG.com/get?file=Bricks027_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks027_p8w9t2oq/Bricks027_8K-JPG.zip
Bricks027,8K-PNG,zip,883797524,https://ambientCG.com/get?file=Bricks027_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Bricks027_p8w9t2oq/Bricks027_8K-PNG.zip
Wood012,1K-JPG,zip,3539060,https://ambientCG.com/get?file=Wood012_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood012_enispm45/Wood012_1K-JPG.zip
Wood012,1K-PNG,zip,7851380,https://ambientCG.com/get?file=Wood012_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood012_enispm45/Wood012_1K-PNG.zip
Wood012,2K-JPG,zip,11423348,https://ambientCG.com/get?file=Wood012_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood012_enispm45/Wood012_2K-JPG.zip
Wood012,2K-PNG,zip,29169780,https://ambientCG.com/get?file=Wood012_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood012_enispm45/Wood012_2K-PNG.zip
Wood012,4K-JPG,zip,38377652,https://ambientCG.com/get?file=Wood012_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood012_enispm45/Wood012_4K-JPG.zip
Wood012,4K-PNG,zip,110418292,https://ambientCG.com/get?file=Wood012_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood012_enispm45/Wood012_4K-PNG.zip
Wood012,8K-JPG,zip,170149300,https://ambientCG.com/get?file=Wood012_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood012_enispm45/Wood012_8K-JPG.zip
Wood012,8K-PNG,zip,167938548,https://ambientCG.com/get?file=Wood012_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Wood012_enispm45/Wood012_8K-PNG.zip
WoodSubstance005,HQ,sbsar,59403449,https://ambientCG.com/get?file=WoodSubstance005_HQ.sbsar,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodSubstance005_gauof8nd/WoodSubstance005_HQ.sbsar
WoodSubstance005,LQ,sbsar,4206523,https://ambientCG.com/get?file=WoodSubstance005_LQ.sbsar,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodSubstance005_gauof8nd/WoodSubstance005_LQ.sbsar
WoodFloor021,1K-JPG,zip,4210415,https://ambientCG.com/get?file=WoodFloor021_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor021_i23t40vg/WoodFloor021_1K-JPG.zip
WoodFloor021,1K-PNG,zip,11743983,https://ambientCG.com/get?file=WoodFloor021_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor021_i23t40vg/WoodFloor021_1K-PNG.zip
WoodFloor021,2K-JPG,zip,15601391,https://ambientCG.com/get?file=WoodFloor021_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor021_i23t40vg/WoodFloor021_2K-JPG.zip
WoodFloor021,2K-PNG,zip,45001391,https://ambientCG.com/get?file=WoodFloor021_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor021_i23t40vg/WoodFloor021_2K-PNG.zip
WoodFloor021,4K-JPG,zip,59238063,https://ambientCG.com/get?file=WoodFloor021_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor021_i23t40vg/WoodFloor021_4K-JPG.zip
WoodFloor021,4K-PNG,zip,173578863,https://ambientCG.com/get?file=WoodFloor021_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor021_i23t40vg/WoodFloor021_4K-PNG.zip
WoodFloor021,8K-JPG,zip,230591983,https://ambientCG.com/get?file=WoodFloor021_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor021_i23t40vg/WoodFloor021_8K-JPG.zip
WoodFloor021,8K-PNG,zip,219443951,https://ambientCG.com/get?file=WoodFloor021_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/WoodFloor021_i23t40vg/WoodFloor021_8K-PNG.zip
PaintedMetal015,1K-JPG,zip,7190454,https://ambientCG.com/get?file=PaintedMetal015_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedMetal015_t4ap2ksz/PaintedMetal015_1K-JPG.zip
PaintedMetal015,1K-PNG,zip,16219382,https://ambientCG.com/get?file=PaintedMetal015_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedMetal015_t4ap2ksz/PaintedMetal015_1K-PNG.zip
PaintedMetal015,2K-JPG,zip,29184886,https://ambientCG.com/get?file=PaintedMetal015_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedMetal015_t4ap2ksz/PaintedMetal015_2K-JPG.zip
PaintedMetal015,2K-PNG,zip,64814518,https://ambientCG.com/get?file=PaintedMetal015_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedMetal015_t4ap2ksz/PaintedMetal015_2K-PNG.zip
PaintedMetal015,4K-JPG,zip,115888118,https://ambientCG.com/get?file=PaintedMetal015_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedMetal015_t4ap2ksz/PaintedMetal015_4K-JPG.zip
PaintedMetal015,4K-PNG,zip,256364342,https://ambientCG.com/get?file=PaintedMetal015_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedMetal015_t4ap2ksz/PaintedMetal015_4K-PNG.zip
PaintedMetal015,8K-JPG,zip,491312694,https://ambientCG.com/get?file=PaintedMetal015_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedMetal015_t4ap2ksz/PaintedMetal015_8K-JPG.zip
PaintedMetal015,8K-PNG,zip,1033889974,https://ambientCG.com/get?file=PaintedMetal015_8K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/PaintedMetal015_t4ap2ksz/PaintedMetal015_8K-PNG.zip
Tiles068,1K-JPG,zip,6744632,https://ambientCG.com/get?file=Tiles068_1K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles068_0acxlu56/Tiles068_1K-JPG.zip
Tiles068,1K-PNG,zip,15404024,https://ambientCG.com/get?file=Tiles068_1K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles068_0acxlu56/Tiles068_1K-PNG.zip
Tiles068,2K-JPG,zip,25605176,https://ambientCG.com/get?file=Tiles068_2K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles068_0acxlu56/Tiles068_2K-JPG.zip
Tiles068,2K-PNG,zip,61049848,https://ambientCG.com/get?file=Tiles068_2K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles068_0acxlu56/Tiles068_2K-PNG.zip
Tiles068,4K-JPG,zip,98406200,https://ambientCG.com/get?file=Tiles068_4K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles068_0acxlu56/Tiles068_4K-JPG.zip
Tiles068,4K-PNG,zip,239180216,https://ambientCG.com/get?file=Tiles068_4K-PNG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles068_0acxlu56/Tiles068_4K-PNG.zip
Tiles068,8K-JPG,zip,413123576,https://ambientCG.com/get?file=Tiles068_8K-JPG.zip,https://cdn3.struffelproductions.com/file/ambientCG/download/Tiles068_0acxlu56/Tiles068_8K-JPG.zip
